state,demog1,demog2,brfss1,brfss2,brfss3,ST,demog3,,public transport ,,Do you have any health care coverage?No
Alabama,1.1,1740393,8.3,13.9,17.4,AL,100824,,10.2,,13.9
Alaska,2.1,200755,13.2,15,11.9,AK,48904,,3.7,,15
Arizona,4.8,1762978,8.4,14.4,15.5,AZ,665765,,7.8,,14.4
Arkansas,1.8,1054678,10.1,16.3,18.2,AR,76610,,8,,16.3
California,9.3,7271204,7.5,14.8,13.5,CA,5487444,,9.3,,14.8
Colorado,3,1673221,8.8,12.8,13.1,CO,366371,,8,,12.8
Connecticut,5.2,1030943,5.3,8.7,11.3,CT,324874,,8.1,,8.7
Delaware,2.2,300900,4.7,8.7,10.8,DE,48843,,8,,8.7
District of Columbia,3.9,221295,3.5,8.3,10.5,DC,56083,,6.3,,8.3
Florida,6.8,5302864,8,17.6,17.6,FL,2025182,,10.3,,17.6
Georgia,3,3101472,7.1,20.9,19,GA,486049,,8.1,,20.9
Hawaii,6.1,310286,8.7,8.1,8.7,HI,140483,,15,,8.1
Idaho,2.1,529083,14.4,16.5,15.8,ID,62504,,18.3,,16.5
Illinois,4.6,3743352,7.7,11.9,12.4,IL,1029069,,8.4,,11.9
Indiana,1.7,2295468,11.6,14.8,15.1,IN,207271,,9.2,,14.8
Iowa,1.6,1147899,8.2,7.7,8.8,IA,93572,,9.8,,7.7
Kansas,2.2,985342,8.5,14.5,12.5,KS,123938,,7.9,,14.5
Kentucky,1.4,1613638,8.8,10,15.9,KY,98456,,7,,10
Louisiana,1.8,1531120,6.4,18.7,17.5,LA,187074,,8.5,,18.7
Maine,1.2,495936,7.1,11,10.9,ME,53905,,16.5,,11
Maryland,3.1,1782349,3.5,9.2,10.1,MD,383089,,9.7,,9.2
Massachusetts,5.7,1935197,3,4.6,8.3,MA,614139,,8.3,,4.6
Michigan,1.8,3456177,6.1,10.3,14.6,MI,378397,,6.3,,10.3
Minnesota,2.3,1894225,6.6,7.3,9.2,MN,234970,,7.1,,7.3
Mississippi,0.8,1048323,9.1,18.8,19.4,MS,47500,,16.8,,18.8
Missouri,1,2205420,9.5,12.9,13.7,MO,149389,,7.8,,12.9
Montana,0.4,388810,10.8,12.9,11.9,MT,22152,,14.3,,12.9
Nebraska,2.6,664351,8.8,12.4,11.8,NE,76414,,10.4,,12.4
Nevada,6.8,712419,9.3,17.1,17.3,NV,309100,,7.1,,17.1
New Hampshire,1.3,469836,6.4,11.4,11.1,NH,49920,,13.2,,11.4
New Jersey,7.1,2189953,4.1,12.5,14,NJ,1004891,,8.5,,12.5
New Mexico,5.4,451127,10.2,15.4,17.2,NM,309789,,12.4,,15.4
New York,8.4,5044057,4.8,12.3,14,NY,2238341,,9,,12.3
North Carolina,2.6,3377980,5.8,16.1,16.2,NC,412640,,5.6,,16.1
North Dakota,1.1,281651,10.9,8.8,7,ND,23780,,8.6,,8.8
Ohio,1.4,4248960,8.4,10.2,13.1,OH,344212,,8.5,,10.2
Oklahoma,2.2,1311309,10.9,13.9,15,OK,148450,,15.7,,13.9
Oregon,2.9,1300725,9.7,11,14.4,OR,234786,,10.9,,11
Pennsylvania,2.4,4370447,6.6,10.1,11.8,PA,575525,,8.9,,10.1
Rhode Island,5.7,314266,3.4,17.1,18.1,RI,95388,,9,,8
South Carolina,1.7,1697062,9.7,9.9,10,SC,129852,,6.8,,17.1
South Dakota,1,311648,10.8,14.2,15.5,SD,22827,,3.2,,9.9
Tennessee,1.6,2327680,7.2,24.9,17.6,TN,181985,,11.2,,14.2
Texas,8.2,5990889,8.4,13.9,14.3,TX,3286308,,9.3,,24.9
Utah,2.3,758877,10.8,6.7,9.1,UT,159493,,7.5,,13.9
Vermont,0.5,240569,6.2,13.1,13.1,VT,16660,,5.7,,6.7
Virginia,2.6,2594194,6.8,10.7,12.3,VA,489626,,9.2,,13.1
Washington,3.9,2169763,8.8,10.1,16.5,WA,509838,,7.9,,10.7
West Virginia,0.2,715262,7.5,8.5,10.6,WV,20113,,13.2,,10.1
Wisconsin,1.6,2099836,7.1,15.1,11.8,WI,207849,,8.4,,8.5
Wyoming,1.1,211753,13.8,6,12.2,WY,20841,,11.1,,15.1
Guam,,,,,,,,,,,24.8
Puerto Rico,,,,,,,,,,,6
